iter	Logloss
0	0.661542462
1	0.6332877508
2	0.6115729886
3	0.590139879
4	0.5669857873
5	0.5469078408
6	0.5306338214
7	0.5113936764
8	0.4944538024
9	0.4775737857
10	0.460589567
11	0.4473539976
12	0.4340559648
13	0.4221404553
14	0.4128668106
15	0.4033842713
16	0.390899109
17	0.381353749
18	0.371304708
19	0.3646322259
20	0.3547632739
21	0.3468511261
22	0.339353791
23	0.3327510936
24	0.3268638981
25	0.3205372406
26	0.3143583853
27	0.309112619
28	0.3041681369
29	0.2998921719
30	0.2945324148
31	0.2900717359
32	0.2863137089
33	0.2838462836
34	0.2802295126
35	0.2763531767
36	0.2726505069
37	0.2692154494
38	0.2656047512
39	0.2628183883
40	0.2603259117
41	0.2578273259
42	0.2552799205
43	0.2529376864
44	0.2510925152
45	0.2487294081
46	0.2464506952
47	0.2445685598
48	0.2428253257
49	0.2410240302
50	0.2397315529
51	0.2378180765
52	0.2364187514
53	0.234628231
54	0.2332016031
55	0.2308843968
56	0.2293751939
57	0.2280728006
58	0.2270424791
59	0.2257683337
60	0.2249096398
61	0.2238890591
62	0.2229073069
63	0.2216018286
64	0.220344913
65	0.2191052776
66	0.2180644256
67	0.2171730501
68	0.2159346504
69	0.2150963679
70	0.2141993866
71	0.2134890643
72	0.2129565483
73	0.2117362995
74	0.210785295
75	0.2098488825
76	0.209100573
77	0.2084039792
78	0.2075822913
79	0.2068215436
80	0.2062497837
81	0.2056643976
82	0.2048623178
83	0.204379933
84	0.2037878891
85	0.2031395455
86	0.2026316671
87	0.2017996559
88	0.2012495784
89	0.2005374472
90	0.2000996349
91	0.1996005446
92	0.199146542
93	0.1986810897
94	0.1981224155
95	0.1974711461
96	0.1969151586
97	0.1965213266
98	0.1961532243
99	0.195780108
100	0.1949702587
101	0.1945926825
102	0.1942540899
103	0.1937046251
104	0.1932514021
105	0.1928896745
106	0.1925100843
107	0.1921345404
108	0.1917815531
109	0.1915955581
110	0.1912190573
111	0.1907677608
112	0.1905457783
113	0.1902179828
114	0.1897839766
115	0.1892455782
116	0.1887088389
117	0.1884430752
118	0.1882745586
119	0.1879278682
120	0.1876521685
121	0.1873799628
122	0.1870685608
123	0.1868158356
124	0.1864590644
125	0.186229302
126	0.1858549477
127	0.1854296031
128	0.1850672136
129	0.1847320234
130	0.1844612682
131	0.1841322291
132	0.1839382374
133	0.1837450308
134	0.1835336286
135	0.1832880663
136	0.1829781315
137	0.1827565415
138	0.1824888578
139	0.1822558993
140	0.1820096053
141	0.1817807531
142	0.1817609765
143	0.181451438
144	0.1811824679
145	0.180969347
146	0.180768049
147	0.1804778792
148	0.18033259
149	0.1800641506
150	0.1798590517
151	0.1796122373
152	0.1795508829
153	0.1792875333
154	0.1791343775
155	0.1788202241
156	0.1786265466
157	0.1784580916
158	0.1783443656
159	0.1782279013
160	0.1780926967
161	0.1779779385
162	0.1778771124
163	0.1777893452
164	0.1776288957
165	0.1774526867
166	0.1772657298
167	0.1772461966
168	0.1770945405
169	0.1770302991
170	0.1768332907
171	0.1765989984
172	0.1764421463
173	0.1761379256
174	0.1759164109
175	0.1756971745
176	0.1755516495
177	0.1754437934
178	0.1751385287
179	0.1750989642
180	0.1749517788
181	0.1749022102
182	0.1747736954
183	0.1746161604
184	0.1744117348
185	0.174254834
186	0.17415496
187	0.1739996616
188	0.1739098634
189	0.1737675776
190	0.1736867134
191	0.1735323034
192	0.1733396213
193	0.1731996826
194	0.1730566047
195	0.1730305918
196	0.1730211272
197	0.1729543597
198	0.172825478
199	0.1726049983
200	0.1725118218
201	0.1724667291
202	0.1722809056
203	0.1722100603
204	0.1720972301
205	0.1719643134
206	0.1717664898
207	0.1716554447
208	0.1714255212
209	0.1713821148
210	0.1711652923
211	0.1710868519
212	0.1709110147
213	0.1708852524
214	0.1707303573
215	0.1705526406
216	0.1703951043
217	0.1702299714
218	0.1701456864
219	0.1700647487
220	0.1700222128
221	0.1699485033
222	0.1698850248
223	0.1697835004
224	0.1696225209
225	0.1695590918
226	0.1694830322
227	0.1694625751
228	0.1693283426
229	0.1692975175
230	0.1691846459
231	0.1690427936
232	0.1689419272
233	0.1688512359
234	0.1687212549
235	0.1685702303
236	0.1683986689
237	0.1683413127
238	0.1682153311
239	0.1682073333
240	0.1680761048
241	0.1679791971
242	0.1678634543
243	0.1677069913
244	0.167623658
245	0.1674897764
246	0.1673732071
247	0.1673322307
248	0.1671838851
249	0.1670078679
250	0.1669336012
251	0.1669090377
252	0.166807218
253	0.1667438615
254	0.166675551
255	0.16659444
256	0.1664822011
257	0.166433043
258	0.1663626357
259	0.1662053215
260	0.166103744
261	0.1659650079
262	0.1658745757
263	0.1657996146
264	0.165680481
265	0.1655242843
266	0.1654144524
267	0.1652809741
268	0.1651326262
269	0.1650235517
270	0.1649105197
271	0.1648512672
272	0.1647190751
273	0.1646501132
274	0.1644973643
275	0.1644417906
276	0.1642692913
277	0.1642049183
278	0.1640545327
279	0.1639658987
280	0.1639231626
281	0.1637942577
282	0.1637245734
283	0.1636230753
284	0.1635397235
285	0.1634553343
286	0.1633795403
287	0.1632280159
288	0.1631596092
289	0.1630212408
290	0.1629450093
291	0.1628380006
292	0.1628313415
293	0.1627583297
294	0.1627383496
295	0.1626476279
296	0.1625198256
297	0.1623823658
298	0.1622878432
299	0.1622540113
300	0.1621596402
301	0.1621043565
302	0.1620112627
303	0.1619447305
304	0.1618003481
305	0.1617062978
306	0.1615296082
307	0.1614385676
308	0.1613970485
309	0.1612899542
310	0.1612193359
311	0.1611524862
312	0.1610230927
313	0.1608405591
314	0.1607126518
315	0.1606743467
316	0.1605799556
317	0.1605606496
318	0.1604813607
319	0.1604058673
320	0.1603136259
321	0.1602579427
322	0.1602134318
323	0.1601450915
324	0.1601301021
325	0.160086772
326	0.1600143354
327	0.1599275917
328	0.1598281407
329	0.1597002993
330	0.1596492512
331	0.1596230361
332	0.1594486863
333	0.1593966145
334	0.1592836296
335	0.1591915086
